;sex;group;task1;add1;sprite1;V-task1;V-add1;V-sprite1;task2.1;sprite2.1;V-task2.1;V-sprite2.1;task2.2;add2.2;sprite2.2;V-task2.2;V-add2.2;V-sprite2.2;task3.1;sprite3.1;V-task3.1;V-sprite;task3.2;add3.2;sprite3.2;V-task3.2;V-add3.2;V-sprite3.2;task4;add4;sprite4;V-task4;V-add4;V-sprite4;task5;add5;sprite5;V-task5;V-add5;V-sprite5;task6;add6;sprite6;V-task6;V-add6;V-sprite6;special;otherProjects
;f;A;correct;;;yes;nein;nein;correct;;yes;nein;correct;;;yes;nein;nein;correct;owl;yes;yes;correct;;;nein;nein;yes;missing;;;missing;;;correct;yes;princess, crystal, snowlfalke, castle;yes;yes;yes;correct;;mermaid, fairy, crab;yes;nein;yes;;wizard: pink costume, task5 nochmal anschauen
;f;A;correct;yes;ballerina;yes;yes;yes;correct;strawberry;yes;yes;correct;;;missing;;;correct;giga;yes;yes;correct;;;yes;nein;nein;correct;;nano;yes;yes;yes;correct;;giga, tera, heart;missing;;;correct;;star, beachballs;missing;;;pink, blue, lila;party (fairy, abby, princess, cat), dino, underwater (mermaid, spaceship, diver, flying cat)
;f;A;missing;;;missing;;;correct;;yes;nein;correct;;;yes;nein;nein;correct;fox;yes;yes;correct;;earth, rocks, owl2;yes;nein;yes;incorrect;;;nein;nein;yes;missing;;;missing;;;missing;;;missing;;;;mathe-quiz, synchronschwimmen
;f;A;correct;;;yes;yes;nein;correct;;yes;nein;correct;;;nein;nein;nein;correct;;yes;yes;correct;;;yes;nein;nein;correct;yes;chick;yes;yes;yes;correct;yes;tree, cloud, crystal;yes;yes;yes;incorrect;;pink schrift;missing;;;;
;f;A;correct;yes;wizard-toad, cheesy puffs;yes;yes;yes;correct;among us, radio, spaceship;yes;yes;correct;;;yes;nein;yes;correct;bat;yes;yes;correct;;shark;yes;nein;yes;correct;yes;chick, farm;yes;nein;yes;correct;yes;hen, egg, rooster, jungle;yes;yes;yes;missing;;;missing;;;;
;f;A;correct;yes;unicorn, wizard-toad;yes;yes;yes;correct;;yes;nein;correct;;;yes;nein;nein;correct;puppy;yes;yes;correct;yes;giraffe, basketball, line;yes;yes;nein;correct;yes;unicorn2, apple, strawberry, donut, castle, farm, hayfield;yes;yes;yes;correct;yes;ghost, princess, cyrstal, castle;yes;yes;yes;missing;;;missing;;;;task3.1., two projects with pinguin and one with drache (identisch)
;f;A;correct;yes;owl;yes;yes;yes;correct;;yes;nein;correct;;;yes;nein;nein;correct;griffin, castle;yes;yes;correct;;griffin;yes;nein;yes;correct;yes;centaur, dragon, goblin, jungle, galaxy;yes;yes;yes;correct;yes;centaur, griffin, basketball, neon tunnel, castle;yes;yes;yes;correct;yes;key, frank, giga, ;yes;yes;yes;;
;f;A;correct;yes;;yes;yes;nein;correct;;yes;nein;correct;;;yes;nein;nein;missing;;missing;;correct;;;yes;nein;nein;correct;yes;griffin, castle, beach, rdesert, hearts;yes;yes;yes;correct;;;missing;;;correct;yes;balloon, pink sky;yes;nein;yes;;"""mathequiz mit pico"", "
;f;A;missing;;;missing;;;correct;;yes;nein;correct;;;yes;nein;nein;correct;fox, jungle;yes;yes;correct;yes;;yes;yes;nein;correct;yes;griffin, maus, neigh pony;yes;yes;yes;correct;yes;princess, prince, castle;yes;yes;yes;correct;yes;nano, infoschild;yes;yes;yes;;bauernhof, hen, rooster, kia, farm
;f;A;correct;yes;;yes;nein;nein;correct;;yes;nein;incorrect;;;missing;;;missing;;missing;;missing;;;missing;;;missing;;;missing;;;correct;yes;pufferfish, princess, party, castle;yes;yes;yes;missing;;;missing;;;;"underwater, diver1; projekt mit nur 4 figuren (fairy, princess, dragon, wizard)"
;f;A;correct;yes;dog2, muffin;yes;yes;yes;correct;;yes;nein;correct;;;yes;nein;nein;correct;goalie;yes;yes;correct;;;yes;nein;nein;correct;yes;frog, ballerina;yes;yes;yes;correct;yes;bowtie, referee, kiran, school;yes;yes;yes;incorrect;;;missing;;;;"abby, colorfulcity; cat, bei task4 ""hilfst du mri wieder mich in ein mädchen zuv erwandeln"" (frosh zu katze)"
;f;A;missing;;;missing;;;correct;;yes;nein;missing;;;missing;;;missing;;missing;;missing;;;missing;;;missing;;;;;;correct;yes;drache, zauberin, blitz, castle;yes;yes;yes;missing;;;missing;;;;synchron-cat, mathe-quiz mit qualle
;f;A;correct;;;missing;;;correct;fox;missing;;missing;;;missing;;;correct;griffin;missing;;correct;;;yes;nein;nein;missing;;;missing;;;incorrect;;griffin, unicorn, star;nein;nein;yes;missing;;;missing;;;;
;f;A;correct;yes;;yes;yes;nein;correct;;yes;nein;correct;yes;;yes;yes;nein;correct;;yes;nein;correct;yes;;missing;;;correct;yes;;missing;;;correct;yes;;yes;nein;nein;correct;yes;donut;missing;;;;
;f;A;correct;yes;;missing;;;correct;;missing;;correct;no;;missing;;;correct;pimpf;yes;yes;correct;;;missing;;;missing;;;missing;;;missing;;;missing;;;incorrect;;;missing;;;;zwei projects: mit witch, luca, ruby im zuhause (story) und wizard-toad (höhle, story)
;m;B;correct;yes;;yes;yes;yes;correct;d-money dance;yes;yes;correct;;;yes;nein;nein;correct;;yes;nein;correct;;;yes;nein;nein;correct;yes;;yes;yes;nein;missing;;;missing;;;missing;;;missing;;;;
;m;B;correct;;;yes;nein;nein;correct;cassy-dance;yes;yes;correct;;;yes;nein;nein;correct;milk;missing;;correct;;;missing;;;correct;yes;;yes;yes;nein;correct;yes;bat;yes;nein;yes;correct;yes;soccer ball, ben;missing;;;;
;m;B;correct;;;yes;yes;yes;correct;d-money dance;yes;yes;correct;;;yes;nein;nein;correct;;yes;nein;correct;yes;;yes;yes;nein;correct;yes;fisch, qualle, crab, fisch2, underwater;yes;yes;yes;correct;yes;astronauten-hund, roboter, stern, explosion;yes;nein;yes;correct;yes;schmetterling, schlange;yes;nein;yes;;
;m;B;correct;;;yes;nein;nein;correct;;missing;;correct;;;missing;;;correct;;yes;nein;correct;;;yes;nein;nein;correct;yes;taco;yes;yes;yes;correct;;;yes;nein;nein;incorrect;;;missing;;;;dreih projekte die wie 1. sind (frank,parrot und dot,ghost und egg) und 1 projekt wie 3.1 (referee, jurassic)
;m;B;correct;;;yes;nein;nein;incorrect;milk with face, ball;missing;;missing;;;missing;;;correct;;missing;;correct;;;missing;;;correct;yes;bread;missing;;;correct;;chick, cake, baseball;nein;nein;yes;correct;yes;gegner, glass water;missing;;;;
;m;B;missing;;;missing;;;missing;;missing;;incorrect;;;missing;;;correct;bat;yes;yes;correct;yes;;yes;nein;nein;missing;;;missing;;;correct;yes;witch, broom, zauberstab;yes;yes;yes;correct;;pufferfish, ghost;missing;;;;
;m;B;correct;;;yes;nein;nein;incorrect;;nein;yes;missing;;;missing;;;missing;;missing;;missing;;;missing;;;missing;;;missing;;;missing;;;missing;;;missing;;;missing;;;;
;m;B;correct;yes;;missing;;;correct;champ99;yes;yes;correct;;;yes;nein;nein;correct;;yes;nein;correct;;;yes;nein;nein;correct;;player, ball;missing;;;correct;yes;komet, earth;yes;yes;yes;correct;yes;dot, gobo, space;missing;;;;
;m;B;correct;yes;;yes;yes;nein;missing;;missing;;correct;;;yes;nein;nein;;;missing;;correct;;;yes;nein;nein;correct;;;missing;;;correct;;;missing;;;correct;;;missing;;;;underwater, fangspiel, crab, watermelon, shark
;m;B;correct;no;;missing;;;incorrect;;nein;nein;correct;;;yes;nein;nein;correct;;missing;;correct;;;missing;;;incorrect;;;missing;;;incorrect;;;missing;;;no;;;missing;;;;erklärung von anika, abby als projekt mit stimme
;m;B;correct;yes;magic wand, bat;yes;yes;yes;correct;;yes;nein;correct;;;yes;nein;nein;correct;giga;yes;yes;correct;;butterfly;missing;;;missing;;;missing;;;correct;;;yes;nein;nein;correct;yes;zwiebel (giga), pufferfish;yes;yes;yes;;dart, visier
