,sex,session,fun_ja,fun_geht so,difficulty_leicht,difficulty_genau richtig,difficulty_schwer,comprehensibility_ja,comprehensibility_geht so,comprehensibility_nein,engagement_oft,engagement_ein bisschen,engagement_gar nicht
0,f,1,20,2,6,16,0,22,0,0,0,0,0
1,m,1,28,2,9,21,0,29,1,0,0,0,0
2,f,2,26,1,2,23,2,25,2,0,7,18,2
3,m,2,26,0,9,14,3,24,2,0,7,16,2
4,f,3,23,2,7,17,1,24,1,0,2,17,6
5,m,3,28,2,10,19,1,26,4,0,5,19,6
6,f,4,21,4,4,16,5,21,4,0,3,16,6
7,m,4,23,5,6,17,5,24,4,0,7,18,3
8,f,5,22,2,4,20,0,20,3,1,3,14,7
9,m,5,21,4,5,17,3,21,4,0,7,12,6
10,f,6,20,0,4,13,3,17,3,0,3,13,4
11,m,6,22,2,3,18,3,20,4,0,4,17,3
